,alpha,deadline,efficiency,epsilon,gamma,penalty_per_step,success
0,0.75,,0.473908089971,,0.75,0.167969124969,0.945
1,0.75,,0.761989281371,,0.5,0.078875298362,0.995
2,0.75,,0.910331326606,,0.25,0.0211873138912,0.9925
3,0.75,,0.994662368096,,0.125,0.000223214285714,1.0
4,0.75,,0.99069855899,,0.0,0.000798580390094,0.9975
5,0.5,,0.453879412172,,0.75,0.139320354377,0.96
6,0.5,,0.59737941557,,0.5,0.102762561366,0.9575
7,0.5,,0.946363216715,,0.25,0.0124974528536,1.0
8,0.5,,0.994380002978,,0.125,0.0,1.0
9,0.5,,0.986926929714,,0.0,0.00168335344456,1.0
10,0.25,,0.458682616242,,0.75,0.123011449395,0.965
11,0.25,,0.464076252769,,0.5,0.125887229086,0.9475
12,0.25,,0.961887975451,,0.25,0.00807073425738,1.0
13,0.25,,1.00335869733,,0.125,0.0,0.9975
14,0.25,,1.00729811831,,0.0,0.00157064959697,1.0
15,0.125,,0.471555642481,,0.75,0.12696650821,0.9625
16,0.125,,0.444562602704,,0.5,0.127400555906,0.965
17,0.125,,0.972055789705,,0.25,0.00628898258444,1.0
18,0.125,,1.00578336531,,0.125,0.00102035458364,1.0
19,0.125,,0.989840548335,,0.0,0.00292548246443,1.0
