,alpha,deadline,efficiency,epsilon,gamma,penalty_per_step,success
0,0.75,,0.445167350984,0.8,0.75,0.171100201598,0.935
1,0.75,,0.622734658958,0.8,0.5,0.114621902443,0.95
2,0.75,,0.886357179408,0.8,0.25,0.0252154126138,0.995
3,0.75,,0.995615614356,0.8,0.125,0.000438596491228,0.995
4,0.75,,0.99508389835,0.8,0.0,0.00145174554329,1.0
5,0.5,,0.434670081451,0.8,0.75,0.138330855593,0.9325
6,0.5,,0.50650255158,0.8,0.5,0.120798185209,0.945
7,0.5,,0.875039268218,0.8,0.25,0.0215883421168,0.995
8,0.5,,0.99529553456,0.8,0.125,0.00127999345056,1.0
9,0.5,,1.00128004804,0.8,0.0,0.00192511103319,1.0
10,0.25,,0.440689527521,0.8,0.75,0.136715276056,0.935
11,0.25,,0.411603123118,0.8,0.5,0.132013527793,0.94
12,0.25,,0.907015901888,0.8,0.25,0.0167488564923,0.9975
13,0.25,,0.98838247327,0.8,0.125,0.000416666666667,1.0
14,0.25,,0.990774190269,0.8,0.0,0.0031625793271,0.995
15,0.125,,0.42185550763,0.8,0.75,0.136752631907,0.9375
16,0.125,,0.436522971016,0.8,0.5,0.126113762028,0.96
17,0.125,,0.902473244474,0.8,0.25,0.016905643518,0.9975
18,0.125,,0.991537956442,0.8,0.125,0.00119106699752,0.9975
19,0.125,,0.974877837622,0.8,0.0,0.0036292931241,0.9975
